iter	Passed	Remaining
945	17553	6067
946	17571	6048
947	17590	6030
948	17609	6012
949	17627	5993
950	17647	5975
951	17666	5956
952	17685	5938
953	17702	5919
954	17721	5900
955	17739	5882
956	17756	5863
957	17775	5844
958	17793	5826
959	17812	5807
960	17831	5789
961	17849	5770
962	17867	5751
963	17886	5733
964	17905	5714
965	17922	5695
966	17940	5676
967	17958	5658
968	17976	5639
969	17994	5621
970	18013	5602
971	18032	5584
972	18050	5565
973	18068	5546
974	18087	5528
975	18106	5509
976	18124	5491
977	18142	5472
978	18161	5454
979	18179	5435
980	18196	5416
981	18214	5397
982	18231	5378
983	18250	5360
984	18269	5341
985	18288	5323
986	18307	5304
987	18326	5286
988	18344	5267
989	18363	5249
990	18382	5230
991	18400	5212
992	18418	5193
993	18435	5174
994	18453	5155
995	18471	5137
996	18490	5118
997	18508	5100
998	18526	5081
999	18545	5062
1000	18562	5044
1001	18581	5025
1002	18600	5007
1003	18618	4988
1004	18635	4969
1005	18653	4950
1006	18673	4932
1007	18691	4913
1008	18709	4895
1009	18727	4876
1010	18746	4858
1011	18764	4839
1012	18783	4821
1013	18802	4802
1014	18820	4783
1015	18838	4765
1016	18857	4746
1017	18877	4728
1018	18896	4710
1019	18914	4691
1020	18933	4673
1021	18952	4654
1022	18971	4636
1023	18989	4617
1024	19009	4599
1025	19027	4580
1026	19046	4562
1027	19064	4543
1028	19081	4524
1029	19099	4505
1030	19117	4487
1031	19136	4468
1032	19156	4450
1033	19173	4431
1034	19192	4413
1035	19212	4395
1036	19231	4376
1037	19250	4358
1038	19268	4339
1039	19286	4321
1040	19305	4302
1041	19324	4284
1042	19343	4265
1043	19362	4247
1044	19380	4228
1045	19399	4210
1046	19418	4191
1047	19436	4172
1048	19453	4154
1049	19472	4135
1050	19489	4116
1051	19507	4098
1052	19525	4079
1053	19544	4061
1054	19563	4042
1055	19581	4023
1056	19599	4005
1057	19618	3986
1058	19638	3968
1059	19656	3949
1060	19676	3931
1061	19694	3912
1062	19713	3894
1063	19731	3875
1064	19749	3857
1065	19768	3838
1066	19787	3820
1067	19806	3801
1068	19823	3783
1069	19841	3764
1070	19860	3745
1071	19878	3727
1072	19896	3708
1073	19915	3690
1074	19934	3671
1075	19952	3652
1076	19970	3634
1077	19988	3615
1078	20006	3597
1079	20025	3578
1080	20044	3560
1081	20061	3541
1082	20079	3522
1083	20098	3504
1084	20115	3485
1085	20134	3466
1086	20151	3448
1087	20169	3429
1088	20187	3410
1089	20205	3392
1090	20223	3373
1091	20241	3355
1092	20261	3336
1093	20280	3318
1094	20299	3299
1095	20317	3281
1096	20336	3262
1097	20355	3244
1098	20375	3225
1099	20393	3207
1100	20412	3188
1101	20432	3170
1102	20450	3151
1103	20470	3133
1104	20487	3114
1105	20505	3096
1106	20524	3077
1107	20542	3059
1108	20560	3040
1109	20578	3021
1110	20597	3003
1111	20615	2984
1112	20634	2966
1113	20652	2947
1114	20669	2928
1115	20687	2910
1116	20706	2891
1117	20725	2873
1118	20742	2854
1119	20761	2836
1120	20779	2817
1121	20798	2799
1122	20816	2780
1123	20835	2761
1124	20853	2743
1125	20871	2724
1126	20890	2706
1127	20909	2687
1128	20928	2669
1129	20947	2650
1130	20965	2632
1131	20983	2613
1132	21001	2595
1133	21018	2576
1134	21038	2557
1135	21056	2539
1136	21074	2520
1137	21093	2502
1138	21111	2483
1139	21130	2465
1140	21148	2446
1141	21167	2428
1142	21185	2409
1143	21203	2390
1144	21222	2372
1145	21240	2353
1146	21258	2335
1147	21277	2316
1148	21295	2298
1149	21314	2279
1150	21332	2261
1151	21351	2242
1152	21370	2224
1153	21389	2205
1154	21407	2187
1155	21425	2168
1156	21443	2149
1157	21462	2131
1158	21479	2112
1159	21497	2094
1160	21517	2075
1161	21535	2057
1162	21554	2038
1163	21573	2020
1164	21591	2001
1165	21610	1983
1166	21628	1964
1167	21646	1945
1168	21664	1927
1169	21683	1908
1170	21701	1890
1171	21720	1871
1172	21738	1853
1173	21757	1834
1174	21775	1816
1175	21793	1797
1176	21812	1779
1177	21831	1760
1178	21849	1742
1179	21868	1723
1180	21886	1704
1181	21905	1686
1182	21923	1667
1183	21942	1649
1184	21960	1630
1185	21978	1612
1186	21997	1593
1187	22016	1575
1188	22034	1556
1189	22052	1538
1190	22071	1519
1191	22090	1501
1192	22107	1482
1193	22126	1463
1194	22144	1445
1195	22163	1426
1196	22181	1408
1197	22200	1389
1198	22219	1371
1199	22238	1352
1200	22256	1334
1201	22273	1315
1202	22292	1297
1203	22311	1278
1204	22329	1260
1205	22348	1241
1206	22367	1223
1207	22385	1204
1208	22404	1186
1209	22422	1167
1210	22440	1148
1211	22457	1130
1212	22476	1111
1213	22496	1093
1214	22514	1074
1215	22533	1056
1216	22551	1037
1217	22568	1019
1218	22585	1000
1219	22604	982
1220	22623	963
1221	22642	944
1222	22660	926
1223	22679	907
1224	22698	889
1225	22715	870
1226	22733	852
1227	22751	833
1228	22770	815
1229	22787	796
1230	22807	778
1231	22826	759
1232	22844	741
1233	22862	722
1234	22880	704
1235	22899	685
1236	22917	666
1237	22936	648
1238	22954	629
1239	22973	611
1240	22992	592
1241	23010	574
1242	23029	555
1243	23047	537
1244	23065	518
1245	23084	500
1246	23102	481
1247	23120	463
1248	23139	444
1249	23157	426
1250	23176	407
1251	23194	389
1252	23211	370
1253	23229	351
1254	23247	333
1255	23267	314
1256	23285	296
1257	23303	277
1258	23321	259
1259	23341	240
1260	23359	222
1261	23377	203
1262	23395	185
1263	23413	166
1264	23431	148
1265	23450	129
1266	23467	111
1267	23486	92
1268	23506	74
1269	23524	55
1270	23543	37
1271	23561	18
1272	23579	0
